wind_speed,power_kw
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,35.0
3.1,50.2
3.2,65.4
3.3,80.6
3.4,95.8
3.5,111.0
3.6,133.2
3.7,155.4
3.8,177.6
3.9,199.8
4.0,222.0
4.1,250.8
4.2,279.6
4.3,308.4
4.4,337.2
4.5,366.0
4.6,403.6
4.7,441.2
4.8,478.8
4.9,516.4
5.0,554.0
5.1,596.8
5.2,639.6
5.3,682.4
5.4,725.2
5.5,768.0
5.6,818.2
5.7,868.4
5.8,918.6
5.9,968.8
6.0,1019.0
6.1,1076.4
6.2,1133.8
6.3,1191.2
6.4,1248.6
6.5,1306.0
6.6,1373.2
6.7,1440.4
6.8,1507.6
6.9,1574.8
7.0,1642.0
7.1,1718.2
7.2,1794.4
7.3,1870.6
7.4,1946.8
7.5,2023.0
7.6,2104.2
7.7,2185.4
7.8,2266.6
7.9,2347.8
8.0,2429.0
8.1,2493.4
8.2,2557.8
8.3,2622.2
8.4,2686.6
8.5,2751.0
8.6,2792.4
8.7,2833.8
8.8,2875.2
8.9,2916.6
9.0,2958.0
9.1,2979.2
9.2,3000.4
9.3,3021.6
9.4,3042.8
9.5,3064.0
9.6,3073.8
9.7,3083.6
9.8,3093.4
9.9,3103.2
10.0,3113.0
10.1,3118.2
10.2,3123.4
10.3,3128.6
10.4,3133.8
10.5,3139.0
10.6,3141.2
10.7,3143.4
10.8,3145.6
10.9,3147.8
11.0,3150.0
11.1,3150.0
11.2,3150.0
11.3,3150.0
11.4,3150.0
11.5,3150.0
11.6,3150.0
11.7,3150.0
11.8,3150.0
11.9,3150.0
12.0,3150.0
12.1,3150.0
12.2,3150.0
12.3,3150.0
12.4,3150.0
12.5,3150.0
12.6,3150.0
12.7,3150.0
12.8,3150.0
12.9,3150.0
13.0,3150.0
13.1,3150.0
13.2,3150.0
13.3,3150.0
13.4,3150.0
13.5,3150.0
13.6,3150.0
13.7,3150.0
13.8,3150.0
13.9,3150.0
14.0,3150.0
14.1,3150.0
14.2,3150.0
14.3,3150.0
14.4,3150.0
14.5,3150.0
14.6,3150.0
14.7,3150.0
14.8,3150.0
14.9,3150.0
15.0,3150.0
15.1,3150.0
15.2,3150.0
15.3,3150.0
15.4,3150.0
15.5,3150.0
15.6,3150.0
15.7,3150.0
15.8,3150.0
15.9,3150.0
16.0,3150.0
16.1,3150.0
16.2,3150.0
16.3,3150.0
16.4,3150.0
16.5,3150.0
16.6,3150.0
16.7,3150.0
16.8,3150.0
16.9,3150.0
17.0,3150.0
17.1,3150.0
17.2,3150.0
17.3,3150.0
17.4,3150.0
17.5,3150.0
17.6,3150.0
17.7,3150.0
17.8,3150.0
17.9,3150.0
18.0,3150.0
18.1,0.0
18.2,0.0
18.3,0.0
18.4,0.0
18.5,0.0
18.6,0.0
18.7,0.0
18.8,0.0
18.9,0.0
19.0,0.0
19.1,0.0
19.2,0.0
19.3,0.0
19.4,0.0
19.5,0.0
19.6,0.0
19.7,0.0
19.8,0.0
19.9,0.0
20.0,0.0
